Year,Month,Name,Limit,DeviceName,DeviceType,FlowDirection,Factor
2018,6,REDTAP,99999.0,8896 RACHAL4A 88380 RGTAP4A 1,LINE,To-From,1
2018,6,NE_LOB,99999.0,5901 MIGUEL5 80219 LOBO7A 1,LINE,To-From,1
2018,6,NE_LOB,99999.0,8383 NEDIN7A 8574 POMELO7A 1,LINE,To-From,1
2018,6,NE_LOB,99999.0,80219 LOBO7A 345 80221 LOBO4A 138 2,XFMR,From-To,1
2018,6,NE_LOB,99999.0,80219 LOBO7A 345 80221 LOBO4A 138 1,XFMR,From-To,1
2020,1,BEARKT,89999.1,23875 EINSTEI 59903 BEARKAT 1,Line,To-From,1
2020,1,BEARKT,89999.1,59902 SAND_BL 59903 BEARKAT 1,Line,To-From,1
2020,1,EASTEX,89999.1,3100 MARTINLK 3102 TYLERGND 1,Line,From-To,1
2020,1,EASTEX,89999.1,3100 MARTINLK 3103 SHAMBRGR 1,Line,From-To,1
2020,1,EASTEX,89999.1,3100 MARTINLK 3105 ELKTON_5 1,Line,From-To,1
2020,1,EASTEX,89999.1,3100 MARTINLK 3109 STRYKER_ 1,Line,From-To,1
2020,1,EASTEX,89999.1,3116 MTENTRPR 3119 NACOGDSE 1,Line,From-To,1
2020,1,EASTEX,89999.1,3116 MTENTRPR 3124 TRINDAD2 1,Line,From-To,1
2020,1,MCCAMY,89999.1,38310 TN16TH_ 38330 TNWDWRD 1,Line,To-From,1
2020,1,MCCAMY,89999.1,60014 SPUD4A 76615 L_LCRAN 1,Line,From-To,1
2020,1,MCCAMY,89999.1,60723 CROSSOV 76032 L_NORTM 1,Line,To-From,1
2020,1,MCCAMY,89999.1,6556 YATW_SW2 60370 ALLEYOO 1,Line,From-To,1
2020,1,MCCAMY,89999.1,6601 RIOPECOS 76615 L_LCRAN 1,Line,From-To,1
2020,1,MCCAMY,89999.1,6630 FTST4A 6671 TOMBSTNE 1,Line,To-From,1
2020,1,MCCAMY,89999.1,76003 L_BIGHI 76005 L_SCHND 1,Line,To-From,1
2020,1,MCCAMY,89999.1,76040 L_CASTI 76615 L_LCRAN 1,Line,From-To,1
2020,1,MCCAMY,89999.1,76579 L_FORTL 76582 L_MEVIS 1,Line,To-From,1
2020,1,MCCAMY,89999.1,76615 L_LCRAN 76635 L_KINGM 1,Line,To-From,1
2020,1,MCCAMY,89999.1,842 GPL_KINGM 11028 ODESEHV 1,Line,From-To,1
2020,1,MCCAMY,89999.1,38420 TNWHITE 69 38430 TNWHITE 138 1,Transformer,To-From,1
2020,1,MCCAMY,89999.1,6598 RIOPECOS 69 6601 RIOPECOS 138 1,Transformer,To-From,1
2020,1,MCCAMY,89999.1,6598 RIOPECOS 69 6601 RIOPECOS 138 2,Transformer,To-From,1
