Path,Sourcename,Sinkname,PEAKTYPE,HEDGETYPE,Period,DA congestion,RT LMP,Seq6,Seq5,Seq4,Seq3,Seq2,Seq1,Monthly Auction,Monthly Auction PnL,Seq1 PnL,Seq2 PnL,Seq3 PnL,Seq4 PnL,Seq5 PnL,Seq6 PnL,Plant,Size (MW),ShadowPricePerMWH,BidPricePerMWH
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,OFFPEAK,Obligation,2022-01-01,-0.1743,-0.0253,-0.1249,-0.0819,-0.0771,-0.0903,-0.0776,-0.08900000000000001,-0.4208,0.2465,-0.0853,-0.0967,-0.084,-0.0972,-0.0924,-0.04940000000000001,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,OFFPEAK,Obligation,2022-02-01,-0.2129,-0.5919,-0.1033,-0.0797,-0.0759,-0.079,-0.068,-0.0897,-0.3083,0.0954,-0.1232,-0.1449,-0.13390000000000002,-0.13699999999999998,-0.1332,-0.1096,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,OFFPEAK,Obligation,2022-03-01,-2.9758,-8.3795,-0.1014,-0.0668,-0.0666,-0.0284,-0.0501,-0.0498,-0.6297,-2.3461,-2.926,-2.9257,-2.9474,-2.9092,-2.909,-2.8744,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,OFFPEAK,Obligation,2022-04-01,-4.0048,-3.1509,-0.174,-0.1455,-0.1274,-0.1029,-0.0922,-0.1737,-0.8679,-3.1369,-3.8311,-3.9126,-3.9019,-3.8774,-3.8593,-3.8308,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,OFFPEAK,Obligation,2022-05-01,-1.5664,-1.2085,-0.272,-0.1656,-0.1062,-0.1235,-0.1031,-0.2361,-1.5989,0.032499999999999966,-1.3303,-1.4633,-1.4429,-1.4602,-1.4008,-1.2944,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,OFFPEAK,Obligation,2022-06-01,-2.1791,-2.8299,-0.1734,-0.1622,-0.1706,-0.1289,-0.1372,-0.1244,-0.7887,-1.3904,-2.0547,-2.0419,-2.0502,-2.0085,-2.0169,-2.0057,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,OFFPEAK,Obligation,2022-07-01,-0.0104,-0.0045,-0.1327,-0.1617,-0.1273,-0.1579,-0.4356,-0.5782,-0.7483,0.7379,0.5678000000000001,0.4252,0.14750000000000002,0.1169,0.15130000000000002,0.12230000000000002,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,OFFPEAK,Obligation,2022-08-01,-0.0273,-0.0237,-0.0848,-0.1453,-0.13699999999999998,-0.1299,-0.3066,-0.8214,-0.2766,0.2493,0.7941,0.2793,0.10259999999999997,0.10969999999999998,0.118,0.0575,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,OFFPEAK,Obligation,2022-09-01,-0.0025,0.0071,-0.1819,-0.1783,-0.1008,-0.1388,-0.3547,-0.8526,-0.3292,0.3267,0.8501000000000001,0.3522,0.1363,0.0983,0.17579999999999998,0.1794,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,OFFPEAK,Obligation,2022-10-01,-0.5094,-0.4199,-0.235,-0.18600000000000005,-0.1598,-0.1298,-0.4277,-1.3134,-0.4199,-0.08949999999999997,0.8039999999999999,-0.08169999999999994,-0.3796,-0.3496,-0.3233999999999999,-0.2744,,,,
