Operations_Name,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
1030_B,Line,To - From,-199.8,199.8,Hard Constraint,SBOSWHT8,FEB_2019,PeakWE,4.11
1400_G,Line,To - From,-384.6,384.6,Hard Constraint,DFORELK5,FEB_2019,PeakWD,3962.87
1400_G,Line,To - From,-375.3,375.3,Hard Constraint,DFORELK5,FEB_2019,PeakWE,366.42
660_B,Line,To - From,-230.4,230.4,Hard Constraint,SZEPCMN8,FEB_2019,Off-peak,16.8
1750_B,Line,From - To,230.4,230.4,Hard Constraint,DBBSRCH5,FEB_2019,PeakWD,676.1
1750_B,Line,From - To,230.4,230.4,Hard Constraint,DBBSRCH5,FEB_2019,PeakWE,361.75
960_D,Line,To - From,-224.1,224.1,Hard Constraint,DMLSENT5,FEB_2019,Off-peak,5.02
1080_C,Line,To - From,-264.6,264.6,Hard Constraint,XTRS258,FEB_2019,PeakWD,0.85
BRIRCRT_SER,Line,To - From,-39.6,39.6,Hard Constraint,XATK89,FEB_2019,Off-peak,42.66
BRIRCRT_SER,Line,To - From,-39.6,39.6,Hard Constraint,XATK89,FEB_2019,PeakWD,635.18
BRIRCRT_SER,Line,To - From,-39.6,39.6,Hard Constraint,XATK89,FEB_2019,PeakWE,278.07
NAC_L1,Line,From - To,114.3,114.3,Hard Constraint,SWHCWOF5,FEB_2019,Off-peak,49.75
NAC_L1,Line,From - To,114.3,114.3,Hard Constraint,,FEB_2019,PeakWD,421.53
NAC_L1,Line,From - To,114.3,114.3,Hard Constraint,XTRS158,FEB_2019,PeakWE,8.71
NAC_L1,Line,From - To,114.3,114.3,Hard Constraint,,FEB_2019,PeakWE,63.96
262_A,Line,From - To,1075.5,1075.5,Hard Constraint,STNPTO25,FEB_2019,Off-peak,72.24
262_A,Line,From - To,1133.9,1133.9,Hard Constraint,STNPTO25,FEB_2019,PeakWE,24.39
HOOD_DECRDVA,Line,To - From,-349.2,349.2,Hard Constraint,DCPSJON5,FEB_2019,Off-peak,19.95
HOOD_DECRDVA,Line,To - From,-349.2,349.2,Hard Constraint,DCPSJON5,FEB_2019,PeakWD,64.58
HOOD_DECRDVA,Line,To - From,-349.2,349.2,Hard Constraint,DCPSJON5,FEB_2019,PeakWE,91.16
16TH_WRD2,Line,To - From,-128.7,128.7,Hard Constraint,SWOORI38,FEB_2019,Off-peak,8118.07
16TH_WRD2,Line,To - From,-128.7,128.7,Hard Constraint,SWOORI38,FEB_2019,PeakWD,4148.64
16TH_WRD2,Line,To - From,-128.7,128.7,Hard Constraint,SWOORI38,FEB_2019,PeakWE,1007.69
G138_1C,Line,From - To,341.1,341.1,Hard Constraint,SGRNCAD8,FEB_2019,PeakWD,3.76
G138_4C,Line,To - From,-341.1,341.1,Hard Constraint,SGRNCAD8,FEB_2019,PeakWD,6.2
G138_4C,Line,To - From,-341.1,341.1,Hard Constraint,SAPACAD8,FEB_2019,PeakWE,0.5
G138_4B,Line,To - From,-341.1,341.1,Hard Constraint,SAPAAMO8,FEB_2019,Off-peak,3.08
