Path,Plant,Size (MW),Bid_ID,CRR_ID,OriginalCRR_ID,AccountHolder,HedgeType,Portfolio,BidType,CRRType,Source,Sink,StartDate,EndDate,TimeOfUse,Bid24Hour,MW,ShadowPricePerMWH,BidMW,BidPricePerMWH,ACI99,ACP,CreditConsumed
FREC_1_CCU+HB_NORTH,Freestone1,491,82991985,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,FREC_1_CCU,HB_NORTH,01/01/2019,01/31/2019,PeakWE,No,0.0,1.533771,16.4,0.29,,,
DUKE_GT2_CCU+HB_SOUTH,Hidalgo,143,82991953,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,DUKE_GT2_CCU,HB_SOUTH,01/01/2019,01/31/2019,PeakWE,No,0.0,0.425239,9.2,0.33,,,
DUKE_GST1CCU+HB_SOUTH,Hidalgo,315,82991945,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,DUKE_GST1CCU,HB_SOUTH,01/01/2019,01/31/2019,PeakWE,No,0.0,0.425239,18.4,0.33,,,
DDPEC_ST1+HB_HOUSTON,Deer Park,290,82991910,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,DDPEC_ST1,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,0.13,14.3,0.12,,,
DDPEC_GT4+HB_HOUSTON,Deer Park,202,82991891,83246987.0,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,DDPEC_GT4,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,10.7,0.13,10.7,0.15,,,
DDPEC_GT3+HB_HOUSTON,Deer Park,190,82991887,83246983.0,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,DDPEC_GT3,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,4.9,0.13,10.7,0.13,,,
DDPEC_GT2+HB_HOUSTON,Deer Park,202,82991877,83246973.0,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,DDPEC_GT2,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,10.7,0.13,10.7,0.15,,,
DDPEC_GT1+HB_HOUSTON,Deer Park,190,82991871,83246967.0,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,DDPEC_GT1,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,10.7,0.13,10.7,0.14,,,
CHE_LYD2+HB_HOUSTON,Channel138,182.7,82991865,83246961.0,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,CHE_LYD2,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,28.5,0.03,28.5,0.04,,,
CHE_LYD+HB_HOUSTON,Channel138,146.5,82991863,83246959.0,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,CHE_LYD,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,8.8,0.03,23.2,0.03,,,
CHEDPW_GT2+HB_HOUSTON,Channel345,406,82991867,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,CHEDPW_GT2,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,0.065763,35.9,0.05,,,
CCEC_ST1+HB_SOUTH,Corpus Christi,196,82991942,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,CCEC_ST1,HB_SOUTH,01/01/2019,01/31/2019,PeakWE,No,0.0,0.407975,15.0,0.14,,,
CCEC_GT2+HB_SOUTH,Corpus Christi,207,82991936,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,CCEC_GT2,HB_SOUTH,01/01/2019,01/31/2019,PeakWE,No,0.0,0.407975,13.5,0.16,,,
CCEC_GT1+HB_SOUTH,Corpus Christi,207,82991929,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,CCEC_GT1,HB_SOUTH,01/01/2019,01/31/2019,PeakWE,No,0.0,0.407975,13.5,0.2,,,
CAL_PUN2+HB_HOUSTON,Pasadena1,70,82991858,83246954.0,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,CAL_PUN2,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,7.6,0.05,17.8,0.05,,,
CAL_PUN1+HB_HOUSTON,Pasadena1,180,82991856,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,CAL_PUN1,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,0.05,9.8,0.04,,,
BVE_UNIT3+HB_HOUSTON,Brazos Valley,270,82991852,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,BVE_UNIT3,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,0.4402,7.5,0.2,,,
BVE_UNIT2+HB_HOUSTON,Brazos Valley,169,82991832,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,BVE_UNIT2,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,0.4402,5.4,0.27,,,
BVE_UNIT1+HB_HOUSTON,Brazos Valley,169,82991817,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,BVE_UNIT1,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,0.4402,5.4,0.29,,,
BTE_BTE_G4+HB_HOUSTON,Baytown,250,82991814,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,BTE_BTE_G4,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,0.05526,25.0,0.05,,,
BTE_BTE_G3+HB_HOUSTON,Baytown,202,82991810,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,BTE_BTE_G3,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,0.05526,25.0,0.05,,,
BTE_BTE_G2+HB_HOUSTON,Baytown,202,82991808,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,BTE_BTE_G2,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,0.05526,25.0,0.05,,,
BTE_BTE_G1+HB_HOUSTON,Baytown,202,82991806,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,BTE_BTE_G1,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,0.05526,30.0,0.04,,,
BOSQ_BSQSU_5+HB_NORTH,Bosque345,222,82992024,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,BOSQ_BSQSU_5,HB_NORTH,01/01/2019,01/31/2019,PeakWE,No,0.0,0.869869,12.0,0.3,,,
GUADG_CCU1+HB_SOUTH,Guadalupe1,516,82992034,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,GUADG_CCU1,HB_SOUTH,01/01/2019,01/31/2019,PeakWE,No,0.0,0.382757,29.4,0.12,,,
BOSQ_BSQS_12+HB_NORTH,Bosque345,324,82992013,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,BOSQ_BSQS_12,HB_NORTH,01/01/2019,01/31/2019,PeakWE,No,0.0,0.869869,17.1,0.27,,,
BOSQ_BSQS_34+HB_NORTH,Bosque138,244,82992017,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,BOSQ_BSQS_34,HB_NORTH,01/01/2019,01/31/2019,PeakWE,No,0.0,0.909139,14.6,0.3,,,
GUADG_CCU2+HB_SOUTH,Guadalupe2,516,83012042,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,GUADG_CCU2,HB_SOUTH,01/01/2019,01/31/2019,PeakWE,No,0.0,0.382757,29.4,0.11,,,
DDPEC_GT6+HB_HOUSTON,Deer Park,174,82991902,83246998.0,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,DDPEC_GT6,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,4.9,0.13,10.7,0.13,,,
TXCTY_ST+HB_HOUSTON,Texas City,131.5,84114856,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,TXCTY_ST,HB_HOUSTON,02/01/2019,02/28/2019,PeakWD,No,0.0,0.300776,28.2,0.01,,,
TXCTY_CTC+HB_HOUSTON,Texas City,100.6,84114854,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,TXCTY_CTC,HB_HOUSTON,02/01/2019,02/28/2019,PeakWD,No,0.0,0.300776,21.4,0.01,,,
TXCTY_CTB+HB_HOUSTON,Texas City,100.6,84103656,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,TXCTY_CTB,HB_HOUSTON,02/01/2019,02/28/2019,PeakWE,No,0.0,0.235585,21.4,0.01,,,
TXCTY_CTA+HB_HOUSTON,Texas City,100.6,84103654,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,TXCTY_CTA,HB_HOUSTON,02/01/2019,02/28/2019,PeakWE,No,0.0,0.235585,21.4,0.01,,,
PSG_PSG_ST1+HB_HOUSTON,Pasadena2,185,84103649,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,PSG_PSG_ST1,HB_HOUSTON,02/01/2019,02/28/2019,PeakWE,No,0.0,0.203218,15.0,0.09,,,
PSG_PSG_GT3+HB_HOUSTON,Pasadena2,185,84114843,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,PSG_PSG_GT3,HB_HOUSTON,02/01/2019,02/28/2019,PeakWD,No,0.0,0.12,15.0,0.06,,,
PSG_PSG_GT2+HB_HOUSTON,Pasadena2,185,84103641,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,PSG_PSG_GT2,HB_HOUSTON,02/01/2019,02/28/2019,PeakWE,No,0.0,0.203218,15.0,0.07,,,
DDPEC_ST1+HB_HOUSTON,Deer Park,290,84103788,84365746.0,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,DDPEC_ST1,HB_HOUSTON,02/01/2019,02/28/2019,Off-peak,No,33.3,0.04796,33.3,0.05,,,
DDPEC_GT4+HB_HOUSTON,Deer Park,202,84103783,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,DDPEC_GT4,HB_HOUSTON,02/01/2019,02/28/2019,Off-peak,No,0.0,0.04796,25.0,0.04,,,
DDPEC_GT3+HB_HOUSTON,Deer Park,190,84114816,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,DDPEC_GT3,HB_HOUSTON,02/01/2019,02/28/2019,PeakWD,No,0.0,0.116277,15.0,0.09,,,
DDPEC_GT2+HB_HOUSTON,Deer Park,202,84103778,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,DDPEC_GT2,HB_HOUSTON,02/01/2019,02/28/2019,Off-peak,No,0.0,0.04796,25.0,0.03,,,
DDPEC_GT1+HB_HOUSTON,Deer Park,190,84114807,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,DDPEC_GT1,HB_HOUSTON,02/01/2019,02/28/2019,PeakWD,No,0.0,0.116277,15.0,0.09,,,
CHE_LYD2+HB_HOUSTON,Channel138,182.7,84103602,84365560.0,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,CHE_LYD2,HB_HOUSTON,02/01/2019,02/28/2019,PeakWE,No,28.5,0.044855,28.5,0.05,,,
CHE_LYD+HB_HOUSTON,Channel138,146.5,84103601,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,CHE_LYD,HB_HOUSTON,02/01/2019,02/28/2019,PeakWE,No,0.0,0.044855,23.2,0.03,,,
CHEDPW_GT2+HB_HOUSTON,Channel345,406,84114802,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,CHEDPW_GT2,HB_HOUSTON,02/01/2019,02/28/2019,PeakWD,No,0.0,0.10914,35.9,0.04,,,
CAL_PUN2+HB_HOUSTON,Pasadena1,70,84103772,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,CAL_PUN2,HB_HOUSTON,02/01/2019,02/28/2019,Off-peak,No,0.0,0.069328,26.7,0.01,,,
CAL_PUN1+HB_HOUSTON,Pasadena1,180,84103593,84365551.0,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,CAL_PUN1,HB_HOUSTON,02/01/2019,02/28/2019,PeakWE,No,9.8,0.04,9.8,0.05,,,
BVE_UNIT3+HB_HOUSTON,Brazos Valley,270,84114769,84365882.0,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,BVE_UNIT3,HB_HOUSTON,02/01/2019,02/28/2019,PeakWD,No,4.9,0.481958,4.9,0.5,,,
BVE_UNIT2+HB_HOUSTON,Brazos Valley,169,84114766,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,BVE_UNIT2,HB_HOUSTON,02/01/2019,02/28/2019,PeakWD,No,0.0,0.481958,4.7,0.33,,,
BVE_UNIT1+HB_HOUSTON,Brazos Valley,169,84114745,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,BVE_UNIT1,HB_HOUSTON,02/01/2019,02/28/2019,PeakWD,No,0.0,0.481958,4.7,0.41,,,
BTE_BTE_G4+HB_HOUSTON,Baytown,250,84114735,84365848.0,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,BTE_BTE_G4,HB_HOUSTON,02/01/2019,02/28/2019,PeakWD,No,2.7,0.1,15.0,0.1,,,
BTE_BTE_G3+HB_HOUSTON,Baytown,202,84114729,84365842.0,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,BTE_BTE_G3,HB_HOUSTON,02/01/2019,02/28/2019,PeakWD,No,2.7,0.1,15.0,0.1,,,
BTE_BTE_G2+HB_HOUSTON,Baytown,202,84114724,84365837.0,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,BTE_BTE_G2,HB_HOUSTON,02/01/2019,02/28/2019,PeakWD,No,2.7,0.1,15.0,0.1,,,
BTE_BTE_G1+HB_HOUSTON,Baytown,202,84103542,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,BTE_BTE_G1,HB_HOUSTON,02/01/2019,02/28/2019,PeakWE,No,0.0,0.071847,30.0,0.05,,,
DDPEC_GT6+HB_HOUSTON,Deer Park,174,84114824,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,DDPEC_GT6,HB_HOUSTON,02/01/2019,02/28/2019,PeakWD,No,0.0,0.116277,15.0,0.1,,,
FREC_2_CCU+HB_NORTH,Freestone2,491,84114950,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,FREC_2_CCU,HB_NORTH,02/01/2019,02/28/2019,PeakWD,No,0.0,1.241873,5.0,0.47,,,
FREC_1_CCU+HB_NORTH,Freestone1,491,84114942,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,FREC_1_CCU,HB_NORTH,02/01/2019,02/28/2019,PeakWD,No,0.0,1.241446,5.0,0.34,,,
BOSQ_BSQSU_5+HB_NORTH,Bosque345,222,84114997,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,BOSQ_BSQSU_5,HB_NORTH,02/01/2019,02/28/2019,PeakWD,No,0.0,1.671103,7.6,0.42,,,
BOSQ_BSQS_12+HB_NORTH,Bosque345,324,84103721,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,BOSQ_BSQS_12,HB_NORTH,02/01/2019,02/28/2019,PeakWE,No,0.0,1.122706,20.0,0.24,,,
BOSQ_BSQS_34+HB_NORTH,Bosque138,244,84114984,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,BOSQ_BSQS_34,HB_NORTH,02/01/2019,02/28/2019,PeakWD,No,0.0,1.624848,9.3,0.44,,,
NED_NEDIN_G3+HB_SOUTH,Magic Valley,255.5,84114919,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,NED_NEDIN_G3,HB_SOUTH,02/01/2019,02/28/2019,PeakWD,No,0.0,0.674213,9.2,0.47,,,
NED_NEDIN_G2+HB_SOUTH,Magic Valley,213.6,84103694,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,NED_NEDIN_G2,HB_SOUTH,02/01/2019,02/28/2019,PeakWE,No,0.0,0.35199,16.8,0.25,,,
NED_NEDIN_G1+HB_SOUTH,Magic Valley,213.6,84103818,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,NED_NEDIN_G1,HB_SOUTH,02/01/2019,02/28/2019,Off-peak,No,0.0,0.571075,20.2,0.16,,,
DUKE_GT2_CCU+HB_SOUTH,Hidalgo,143,84103682,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,DUKE_GT2_CCU,HB_SOUTH,02/01/2019,02/28/2019,PeakWE,No,0.0,0.397441,12.3,0.25,,,
DUKE_GST1CCU+HB_SOUTH,Hidalgo,315,84103806,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,DUKE_GST1CCU,HB_SOUTH,02/01/2019,02/28/2019,Off-peak,No,0.0,0.650072,29.4,0.2,,,
CCEC_ST1+HB_SOUTH,Corpus Christi,196,84114867,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,CCEC_ST1,HB_SOUTH,02/01/2019,02/28/2019,PeakWD,No,0.0,0.522532,15.0,0.3,,,
CCEC_GT2+HB_SOUTH,Corpus Christi,207,84114866,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,CCEC_GT2,HB_SOUTH,02/01/2019,02/28/2019,PeakWD,No,0.0,0.522532,13.5,0.18,,,
CCEC_GT1+HB_SOUTH,Corpus Christi,207,84103663,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,CCEC_GT1,HB_SOUTH,02/01/2019,02/28/2019,PeakWE,No,0.0,0.353014,13.5,0.16,,,
GUADG_CCU1+HB_SOUTH,Guadalupe1,516,84115006,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,GUADG_CCU1,HB_SOUTH,02/01/2019,02/28/2019,PeakWD,No,0.0,0.45,9.8,0.44,,,
GUADG_CCU2+HB_SOUTH,Guadalupe2,516,84103758,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_02,BUY,PREAWARD,GUADG_CCU2,HB_SOUTH,02/01/2019,02/28/2019,PeakWE,No,0.0,0.306704,18.7,0.16,,,
DDPEC_GT6+HB_HOUSTON,Deer Park,174,85093411,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_03,BUY,PREAWARD,DDPEC_GT6,HB_HOUSTON,03/01/2019,03/31/2019,PeakWE,No,0.0,0.135327,15.0,0.09,,,
GUADG_CCU2+HB_SOUTH,Guadalupe2,516,85089689,85395422.0,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_03,BUY,PREAWARD,GUADG_CCU2,HB_SOUTH,03/01/2019,03/31/2019,Off-peak,No,18.7,0.222909,18.7,0.24,,,
GUADG_CCU1+HB_SOUTH,Guadalupe1,516,85093293,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_03,BUY,PREAWARD,GUADG_CCU1,HB_SOUTH,03/01/2019,03/31/2019,PeakWD,No,0.0,0.525716,9.8,0.5,,,
BOSQ_BSQS_34+HB_NORTH,Bosque138,244,85093269,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_03,BUY,PREAWARD,BOSQ_BSQS_34,HB_NORTH,03/01/2019,03/31/2019,PeakWD,No,0.0,1.017821,6.4,0.67,,,
BOSQ_BSQS_12+HB_NORTH,Bosque345,324,85089659,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_03,BUY,PREAWARD,BOSQ_BSQS_12,HB_NORTH,03/01/2019,03/31/2019,Off-peak,No,0.0,0.556334,20.0,0.25,,,
BOSQ_BSQSU_5+HB_NORTH,Bosque345,222,85089674,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_03,BUY,PREAWARD,BOSQ_BSQSU_5,HB_NORTH,03/01/2019,03/31/2019,Off-peak,No,0.0,0.556334,14.0,0.19,,,
BTE_BTE_G1+HB_HOUSTON,Baytown,202,85093337,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_03,BUY,PREAWARD,BTE_BTE_G1,HB_HOUSTON,03/01/2019,03/31/2019,PeakWE,No,0.0,0.110913,30.0,0.04,,,
BTE_BTE_G2+HB_HOUSTON,Baytown,202,85093027,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_03,BUY,PREAWARD,BTE_BTE_G2,HB_HOUSTON,03/01/2019,03/31/2019,PeakWD,No,0.0,0.155836,15.0,0.09,,,
BTE_BTE_G3+HB_HOUSTON,Baytown,202,85093032,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_03,BUY,PREAWARD,BTE_BTE_G3,HB_HOUSTON,03/01/2019,03/31/2019,PeakWD,No,0.0,0.155836,15.0,0.09,,,
BTE_BTE_G4+HB_HOUSTON,Baytown,250,85093346,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_03,BUY,PREAWARD,BTE_BTE_G4,HB_HOUSTON,03/01/2019,03/31/2019,PeakWE,No,0.0,0.110913,25.0,0.04,,,
BVE_UNIT1+HB_HOUSTON,Brazos Valley,169,85093353,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_03,BUY,PREAWARD,BVE_UNIT1,HB_HOUSTON,03/01/2019,03/31/2019,PeakWE,No,0.0,0.401721,7.8,0.14,,,
BVE_UNIT2+HB_HOUSTON,Brazos Valley,169,85093056,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_03,BUY,PREAWARD,BVE_UNIT2,HB_HOUSTON,03/01/2019,03/31/2019,PeakWD,No,0.0,0.49184,6.4,0.2,,,
BVE_UNIT3+HB_HOUSTON,Brazos Valley,270,85093064,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_03,BUY,PREAWARD,BVE_UNIT3,HB_HOUSTON,03/01/2019,03/31/2019,PeakWD,No,0.0,0.49184,8.9,0.23,,,
CAL_PUN1+HB_HOUSTON,Pasadena1,180,85093376,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_03,BUY,PREAWARD,CAL_PUN1,HB_HOUSTON,03/01/2019,03/31/2019,PeakWE,No,0.0,0.04,9.8,0.03,,,
CAL_PUN2+HB_HOUSTON,Pasadena1,70,85093077,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_03,BUY,PREAWARD,CAL_PUN2,HB_HOUSTON,03/01/2019,03/31/2019,PeakWD,No,0.0,0.046144,17.8,0.04,,,
CCEC_GT1+HB_SOUTH,Corpus Christi,207,85093446,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_03,BUY,PREAWARD,CCEC_GT1,HB_SOUTH,03/01/2019,03/31/2019,PeakWE,No,0.0,0.516037,13.5,0.12,,,
