Branch Name,03/14/2019 Status,06/16/2023 Status,Description
ROTN_WOLFGA1_1                  ,Out-Of-Service,In-Service,Changed
1350__B                         ,Out-Of-Service,In-Service,Changed
359__A                          ,Out-Of-Service,In-Service,Changed
GC_JK_1                         ,Out-Of-Service,In-Service,Changed
KEISW_STE_1                     ,Out-Of-Service,In-Service,Changed
GIBC_KEISW_1                    ,Out-Of-Service,In-Service,Changed
256_A_1                         ,Out-Of-Service,In-Service,Changed
1230__E                         ,Out-Of-Service,In-Service,Changed
510__A                          ,Out-Of-Service,In-Service,Changed
QN-QL_RC_QL                     ,Out-Of-Service,In-Service,Changed
QN-WS_RC_WS                     ,Out-Of-Service,In-Service,Changed
SARDIS_RSP_1                    ,Out-Of-Service,In-Service,Changed
6435__E                         ,Out-Of-Service,In-Service,Changed
1320__C                         ,Out-Of-Service,In-Service,Changed
WMFM_WMFMW_1                    ,Out-Of-Service,In-Service,Changed
3750__C                         ,Out-Of-Service,In-Service,Changed
1432__B                         ,Out-Of-Service,In-Service,Changed
LGCY_STNBRK2_1                  ,Out-Of-Service,In-Service,Changed
LGCY_STNBRK1_1                  ,Out-Of-Service,In-Service,Changed
LEGCY_FSPOI1_1                  ,Out-Of-Service,In-Service,Changed
LEGCY_FSPOI2_1                  ,Out-Of-Service,In-Service,Changed
6880__A                         ,Out-Of-Service,In-Service,Changed
6880__C                         ,Out-Of-Service,In-Service,Changed
LEPOI_OLDEN_1                   ,Out-Of-Service,In-Service,Changed
CLEARC_WSHACK1_1                ,Out-Of-Service,In-Service,Changed
CLEARC_WSHACK2_1                ,Out-Of-Service,In-Service,Changed
WYL_FIRE_1                      ,Out-Of-Service,In-Service,Changed
152__A                          ,Out-Of-Service,In-Service,Changed
6190__C                         ,Out-Of-Service,In-Service,Changed
6185__E                         ,Out-Of-Service,In-Service,Changed
DENT_SHEL_1                     ,Out-Of-Service,In-Service,Changed
3130__B                         ,Out-Of-Service,In-Service,Changed
BL_WM_RC2_B                     ,Out-Of-Service,In-Service,Changed
3250__F                         ,Out-Of-Service,In-Service,Changed
151__A                          ,Out-Of-Service,In-Service,Changed
589_C_1                         ,Out-Of-Service,In-Service,Changed
590__B                          ,Out-Of-Service,In-Service,Changed
LWVJS_ZBR_1                     ,Out-Of-Service,In-Service,Changed
3250__D                         ,Out-Of-Service,In-Service,Changed
3250__B                         ,Out-Of-Service,In-Service,Changed
ENLSW_LKCR_1                    ,Out-Of-Service,In-Service,Changed
1630__I                         ,Out-Of-Service,In-Service,Changed
